Date Posted,Time Posted,Caption,Sound Type,Hashtags,Hashtag Count,Duration (sec),Format,Views,Likes,Comments,Shares,Saves,Watch Time,Went Viral? (Y/N)
15/3/2025,12:49,Walked in at the wrong time… now I’m a chef.,Y, #fyp #viral #cookwithme #nigeria #helpme #cook,6,8,videos,1400000,237000,1016,56000,7911,8.78,Y
18/3/2025,10:00,#CapCut @𝙰𝚑𝚖𝚒𝚎’𝚜 𝚍𝚒𝚊𝚛𝚢✍︎ u do this one ,Y,#fyp #viral #helpme,3,13,vidoes,1400000,226000,1133,7654,6096,12.46,Y
5/4/2025,11:49,NSA YORKU FAKE WEDDDING @NsayorkU,Y,#fyp #weddingday #nigeriatiktok,3,28,videos,1200000,225000,420,8598,8615,,Y
23/4/2025,07:05,Abi make i soak eba,Y,#viral #fyp #funny #nigeriatiktok,4,15,videos,295000,40000,1355,3594,596,12.74,Y
16/4/2025,09:36,Don't mistake hunger for depression,Y,#fyp #foodie #nigeriatiktok🇳🇬🇳🇬🇳🇬 #kosy,4,15,videos ,209000,48000,453,5220,1614,11.49,Y
6/4/2025,04:01,Who are you taking home??,N,#fyp #yorku @NsayorkU #nigeriatiktok🇳🇬🇳🇬🇳🇬,3,30,videos ,62000,5959,143,86,178,13.87,Y
5/4/2025,12:47,Nigerian fake wedding,N,"
Nigerian fake wedding @NsayorkU #weddingday #fyp #naijaweddings #viral_video #nigeriatiktok",5,19,videos ,54000,4856,31,130,195,11.92,Y
5/1/2025,02:52,Igbo people tap in 🔥🔥,Y,#trendsobremim #Biscoitocut #trendsobremim #achalugo #igboamaka #nigeriantiktok🇳🇬 #fyp #viral,8,12,videos ,29000,3962,100,22,47,13.25,N
2/1/2025,03:18,Starting the village life fresh—cleaning and organizing my space! 🧹,N, #VillageVlog #CleaningMotivation #FreshStart #VillageLife #MbaiseDiaries #SimpleLiving #HomeVibes #viral #OrganizeWithMe #NigerianLifestyle #VlogJourney#naija,11,45,videos ,18000,2384,86,29,106,19.81,N
4/3/2025,09:30,N,N,#fyp #twin #viral ,3,9,videos ,12000,836,31,13,10,8.49,N
19/4/2025,14:13,Grwm feat. kachcollections part 2,N,#CapCut #fyp@Kachcollection #omahlay #viral#naijafashion #naijatiktok #CapCut,7,37,vidoes,1509,168,19,11,3,9.83,N
19/4/2025,14:00,Grwm ft. kachcollection. part 1,N, #CapCut #fyp@Kachcollection #omahlay #viral#naijafashion #naijatiktok,4,18,videos ,1767,214,17,5,5,9.62,N
27/4/2025,05:13,I'm a shy chef,Y,#PixVerse #food #fyp #viral #funny #hildabaci,5,5,videos,"5,734",621,14,15,7,5.75,N
8/4/2025,12:35,@Kaka💕 next time laugh,Y, #funny #fyp #relatable #viral#kosy,5,6,vidoes,4908,323,31,38,9,5.17,N
30/3/2025,07:34,Sweet melody 🎶🎶🎶,Y,#fyp #viral_video #buike #chella,4,14,vidoes ,6942,353,11,5,8,4.71,N
27/3/2025,08:17,Awkward moment😭😭,Y,#fyp #funny #naijatiktok #nigeriantiktok🇳🇬 #videoviral,5,16,vidoes,5128,350,26,4,10,6.53,N
23/3/2025,13:00,Huge twist 💀💀,Y,#fyp #funny #naijatiktok #nigeriantiktok🇳🇬 #videoviral,5,13,videos ,2829,194,14,2,3,5.34,N
21/3/2025,17:07,Tomato milk shake is sure 😂,Y,#CapCut #fyp #viralditiktok #nigeriantiktok #relatable #sisters,5,5,videos ,6004,403,28,19,7,6.29,N
20/3/2025,08:29,Replying to @Nkechi 💅 ,N,#viral #fyp #nigeriantiktok🇳🇬 #clintonjoshua ,4,0,videos ,5809,356,29,7,11,8.72,N
19/2/2025,03:10,gboamaka ❤️❤️,N,#trendsobremim #Biscoitocut #trendsobremim #achalugo #igboamaka #tiktok nigeria #fyp,7,17,videos ,7814,893,60,5,24,8.91,N
15/3/2025,13:08,#duet with @IG:Kam.syyy🙂‍↕️,N,#fyp i have warned her enough😤 #viral,1,7,videos ,5662,437,39,5,12,9.88,N
9/3/2025,21:17,Home alone,Y,#viral #fyp #anixety #doechii,4,10,videos ,4872,394,14,12,9,7.06,N
7/3/2025,17:10,We all know that guy #CapCut,N,#viral #fyp #uefa #mbappe #fc2024,5,14,videos ,5052,310,24,7,9,8,N
2/2/2025,19:14,Letting my intrusive thoughts win again💀,Y,#gym #viral_video #funny #kosy,4,10,videos ,3797,250,15,18,7,7.36,N
29/1/2025,18:02,Morning routine ☀️☀️,N, #morningroutine  #fyp  #viral  #kosy #daily  #nigeriantiktok🇳🇬,6,55,videos ,3412,301,14,6,8,15.35,N
17/1/2025,10:20,❄️Good Morning Toronto! Embracing the -12°C Magic at 8 AM🌅🌅,N,🌅🌅 #Toronto  #CapCut  #fyp  #viral  #kosy,5,28,vidoes ,2716,160,14,0,5,5.61,N
10/1/2025,16:33,"Leaving Nigeria with a heart full of memories, and heading back to the beautifful landsacpe of canada",N,"#TravelVlog  #fyp #viral
##NigeriaToCanada
#ExploreCanada",5,44,videos ,5187,488,29,10,14,17.66,N
7/1/2025,03:51,Morning vibes in the village! Watch me change a tire and embrace the rustic of rural charm,N,"#MorningMotivation  #kosy  #VillageLife  #MorningVlog #VillageVibes  #TireChange
#MorningAdventure  #fyp  #viral_video
#ExploreNigeria",10,30,videos ,3333,235,21,15,3,11.14,N
6/1/2025,03:57,N,N,#fyp #kosy #ExploreNigeria #igboamaka #viral,6,0,videos ,3568,306,16,14,7,26.97,N
